SA2_NAME_2011,QI_INDICATOR
Rochedale - Burbank,Poor
Upper Mount Gravatt,Poor
Wishart,Poor
Coopers Plains,Acceptable
Moorooka,Acceptable
Robertson,Poor
Salisbury - Nathan,Good
Tarragindi,Poor
Algester,Poor
Calamvale - Stretton,Acceptable
Pallara - Willawong,Poor
Parkinson - Drewvale,Poor
Rocklea - Acacia Ridge,Poor
Kuraby,Good
Runcorn,Poor
Sunnybank,Poor
Sunnybank Hills,Poor
Jindalee - Mount Ommaney,Poor
Middle Park - Jamboree Heights,Poor
Riverhills,Poor
Seventeen Mile Rocks - Sinnamon Park,Good
Westlake,Poor
Bellbowrie - Moggill,Acceptable
Brookfield - Kenmore Hills,Poor
Chapel Hill,Poor
Fig Tree Pocket,Poor
Kenmore,Poor
Pinjarra Hills - Pullenvale,Poor
Chelmer - Graceville,Poor
Corinda,Poor
Indooroopilly,Poor
Sherwood,Poor
St Lucia,Good
Taringa,Poor
Enoggera,Poor
Enoggera Reservoir,Poor
Keperra,Poor
Mitchelton,Poor
Mount Coot-tha,Poor
The Gap,Good
Upper Kedron - Ferny Grove,Poor
Brisbane City,Poor
Fortitude Valley,Poor
Highgate Hill,Poor
Kangaroo Point,Poor
New Farm,Good
South Brisbane,Poor
Spring Hill,Poor
West End,Poor
Balmoral,Poor
Bulimba,Poor
East Brisbane,Poor
Hawthorne,Poor
Morningside - Seven Hills,Poor
Norman Park,Poor
Albion,Poor
Alderley,Poor
Ascot,Poor
Clayfield,Poor
Grange,Poor
Hamilton (Qld),Poor
Hendra,Poor
Kelvin Grove - Herston,Poor
Newmarket,Poor
Newstead - Bowen Hills,Poor
Wilston,Poor
Windsor,Poor
Wooloowin - Lutwyche,Poor
Ashgrove,Good
Auchenflower,Poor
Bardon,Good
Paddington - Milton,Good
Red Hill (Qld),Poor
Toowong,Poor
Brinsmead,Poor
Clifton Beach - Kewarra Beach,Poor
Freshwater - Stratford,Poor
Redlynch,Poor
Trinity Beach - Smithfield,Poor
Yorkeys Knob - Machans Beach,Poor
Bentley Park,Poor
Cairns City,Poor
Earlville - Bayview Heights,Poor
Edmonton,Poor
Gordonvale - Trinity,Good
Kanimbla - Mooroobool,Poor
Lamb Range,Poor
Manoora,Poor
Manunda,Poor
Mount Sheridan,Poor
Westcourt - Bungalow,Poor
White Rock,Poor
Whitfield - Edge Hill,Poor
Woree,Poor
Babinda,Poor
Innisfail,Acceptable
Johnstone,Poor
Tully,Good
Wooroonooran,Poor
Yarrabah,Poor
Daintree,Good
Port Douglas,Good
Atherton,Acceptable
Herberton,Acceptable
Kuranda,Good
Malanda - Yungaburra,Acceptable
Mareeba,Acceptable
Balonne,Good
Chinchilla,Good
Goondiwindi,Good
Inglewood - Waggamba,Acceptable
Miles - Wandoan,Good
Roma,Acceptable
Roma Region,Poor
Tara,Acceptable
Crows Nest - Rosalie,Poor
Jondaryan,Acceptable
Millmerran,Acceptable
Pittsworth,Acceptable
Wambo,Good
Clifton - Greenmount,Acceptable
Southern Downs - East,Poor
Southern Downs - West,Poor
Stanthorpe,Poor
Stanthorpe Region,Poor
Warwick,Acceptable
Central Highlands - East,Acceptable
Central Highlands - West,Poor
Emerald,Good
Agnes Water - Miriam Vale,Good
Banana,Poor
Biloela,Acceptable
Boyne Island - Tannum Sands,Poor
Callemondah,Poor
Clinton - New Auckland,Poor
Gladstone,Poor
Gladstone Hinterland,Poor
Kin Kora - Sun Valley,Poor
South Trees,Poor
Telina - Toolooa,Poor
West Gladstone,Poor
Berserker,Poor
Bouldercombe,Poor
Emu Park,Acceptable
Frenchville - Mount Archer,Poor
Glenlee - Rockyview,Poor
Gracemere,Poor
Lakes Creek,Poor
Mount Morgan,Good
Norman Gardens,Poor
Park Avenue,Poor
Parkhurst - Kawana,Poor
Rockhampton - West,Poor
Rockhampton City,Poor
Rockhampton Region - East,Poor
Rockhampton Region - North,Poor
Rockhampton Region - West,Poor
Shoalwater Bay,Poor
The Range - Allenstown,Poor
Yeppoon,Acceptable
Broadbeach Waters,Poor
Burleigh Heads,Poor
Burleigh Waters,Poor
Mermaid Beach - Broadbeach,Poor
Mermaid Waters,Poor
Miami,Poor
Coolangatta,Acceptable
Currumbin - Tugun,Poor
Currumbin Waters,Poor
Elanora,Poor
Palm Beach,Poor
Arundel,Poor
Biggera Waters,Poor
Coombabah,Poor
Labrador,Poor
Paradise Point - Hollywell,Poor
Runaway Bay,Poor
Guanaba - Springbrook,Poor
Tamborine - Canungra,Acceptable
Currumbin Valley - Tallebudgera,Acceptable
Mudgeeraba - Bonogin,Poor
Reedy Creek - Andrews,Poor
Carrara,Poor
Highland Park,Poor
Nerang - Mount Nathan,Poor
Pacific Pines - Gaven,Poor
Worongary - Tallai,Poor
Coomera,Poor
Helensvale,Poor
Hope Island,Poor
Jacobs Well - Alberton,Poor
Ormeau - Yatala,Acceptable
Oxenford - Maudsland,Acceptable
Pimpama,Poor
Upper Coomera - Willow Vale,Poor
Clear Island Waters,Poor
Merrimac,Poor
Robina,Poor
Varsity Lakes,Poor
Ashmore,Poor
Molendinar,Poor
Parkwood,Poor
Southport,Poor
Benowa,Poor
Bundall,Poor
Main Beach,Poor
Surfers Paradise,Poor
Darra - Sumner,Poor
Durack,Poor
Forest Lake - Doolandella,Acceptable
Inala - Richlands,Poor
Oxley (Qld),Poor
Wacol,Poor
Boonah,Acceptable
Esk,Good
Lake Manchester - England Creek,Poor
Lockyer Valley - East,Acceptable
Lowood,Poor
Rosewood,Poor
Brassall,Poor
Bundamba,Poor
Churchill - Yamanto,Poor
Ipswich - Central,Poor
Ipswich - East,Poor
Ipswich - North,Poor
Karalee - Barellan Point,Poor
Karana Downs,Poor
Leichhardt - One Mile,Poor
North Ipswich - Tivoli,Poor
Raceview,Poor
Ripley,Poor
Riverview,Acceptable
Bellbird Park - Brookwater,Poor
Camira - Gailes,Poor
Carole Park,Poor
Collingwood Park - Redbank,Poor
Goodna,Poor
New Chum,Poor
Redbank Plains,Poor
Springfield,Poor
Springfield Lakes,Poor
Beaudesert,Poor
Beenleigh,Poor
Eagleby,Poor
Edens Landing - Holmview,Poor
Mount Warren Park,Poor
Wolffdene - Bahrs Scrub,Poor
Boronia Heights - Park Ridge,Poor
Browns Plains,Poor
Chambers Flat - Logan Reserve,Poor
Crestmead,Poor
Greenbank Military Camp,Poor
Hillcrest,Poor
Marsden,Poor
Munruben - Park Ridge South,Poor
Regents Park - Heritage Park,Poor
Greenbank,Poor
Jimboomba,Poor
Logan Village,Poor
Bethania - Waterford,Poor
Cornubia - Carbrook,Good
Loganholme - Tanah Merah,Poor
Loganlea,Good
Shailer Park,Poor
Waterford West,Poor
Daisy Hill,Poor
Kingston,Poor
Logan Central,Poor
Rochedale South - Priestdale,Good
Slacks Creek,Poor
Springwood,Poor
Underwood,Good
Woodridge,Poor
Bowen,Acceptable
Broadsound - Nebo,Acceptable
Clermont,Good
Collinsville,Poor
Moranbah,Good
Andergrove - Beaconsfield,Poor
East Mackay,Poor
Eimeo - Rural View,Poor
Eungella Hinterland,Poor
Mackay,Poor
Mackay Harbour,Poor
Mount Pleasant - Glenella,Poor
North Mackay,Poor
Ooralea - Bakers Creek,Poor
Pioneer Valley,Acceptable
Sarina,Poor
Seaforth - Calen,Poor
Shoal Point - Bucasia,Good
Slade Point,Poor
South Mackay,Poor
Walkerston - Eton,Poor
West Mackay,Poor
Airlie - Whitsundays,Good
Cape Conway,Poor
Proserpine,Good
Beachmere - Sandstone Point,Poor
Bribie Island,Good
Burpengary - East,Poor
Caboolture,Poor
Caboolture - South,Poor
Elimbah,Good
Morayfield - East,Poor
Wamuran,Poor
Kilcoy,Acceptable
Woodford - D'Aguilar,Acceptable
Burpengary,Poor
Deception Bay,Good
Morayfield,Poor
Narangba,Good
Upper Caboolture,Poor
Clontarf,Poor
Margate - Woody Point,Poor
Redcliffe,Poor
Rothwell - Kippa-Ring,Good
Scarborough - Newport,Poor
Albany Creek,Poor
Cashmere,Poor
Dayboro,Poor
Eatons Hill,Good
Hills District,Poor
Samford Valley,Acceptable
Dakabin - Kallangur,Poor
Murrumba Downs - Griffin,Poor
North Lakes - Mango Hill,Good
Bray Park,Poor
Lawnton,Good
Petrie,Good
Strathpine - Brendale,Poor
Aurukun,Poor
Cape York,Poor
Croydon - Etheridge,Poor
Kowanyama - Pormpuraaw,Poor
Northern Peninsula,Good
Tablelands,Poor
Torres,Poor
Torres Strait Islands,Poor
Weipa,Poor
Carpentaria,Poor
Mount Isa,Good
Mount Isa Region,Acceptable
Northern Highlands,Acceptable
Barcaldine - Blackall,Good
Charleville,Good
Far Central West,Acceptable
Far South West,Good
Longreach,Good
Buderim - North,Poor
Buderim - South,Poor
Mountain Creek,Poor
Sippy Downs,Poor
Aroona - Currimundi,Poor
Buddina - Minyama,Poor
Caloundra - Kings Beach,Poor
Caloundra - West,Poor
Golden Beach - Pelican Waters,Poor
Moffat Beach - Battery Hill,Poor
Parrearra - Warana,Poor
Wurtulla - Birtinya,Poor
Coolum Beach,Poor
Marcoola - Mudjimba,Good
Maroochydore - Kuluin,Good
Mooloolaba - Alexandra Headland,Poor
Bli Bli,Poor
Diddillibah - Rosemount,Poor
Eumundi - Yandina,Poor
Nambour,Poor
Noosa Hinterland,Poor
Noosa Heads,Poor
Noosaville,Good
Peregian,Poor
Sunshine Beach,Poor
Tewantin,Poor
Beerwah,Good
Caloundra Hinterland,Good
Glass House Mountains,Good
Landsborough,Good
Maroochy Hinterland,Poor
Palmwoods,Acceptable
Cambooya - Wyreema,Poor
Darling Heights,Poor
Drayton - Harristown,Poor
Gatton,Poor
Gowrie (Qld),Poor
Highfields,Poor
Lockyer Valley - West,Poor
Middle Ridge,Poor
Newtown (Qld),Poor
North Toowoomba - Harlaxton,Poor
Rangeville,Poor
Toowoomba - Central,Poor
Toowoomba - East,Poor
Toowoomba - West,Poor
Wilsonton,Poor
Ayr,Acceptable
Burdekin,Acceptable
Charters Towers,Acceptable
Dalrymple,Poor
Ingham,Poor
Ingham Region,Poor
Palm Island,Poor
Aitkenvale,Poor
Annandale,Poor
Belgian Gardens - Pallarenda,Poor
Bohle Plains,Poor
Condon - Rasmussen,Poor
Cranbrook,Poor
Deeragun,Acceptable
Douglas,Poor
Garbutt - West End,Poor
Gulliver - Currajong - Vincent,Poor
Heatley,Poor
Hermit Park - Rosslea,Poor
Hyde Park - Pimlico,Poor
Kelso,Poor
Kirwan - East,Poor
Kirwan - West,Poor
Magnetic Island,Good
Mount Louisa,Poor
Mundingburra,Poor
Northern Beaches,Poor
Oonoonba,Poor
South Townsville - Railway Estate,Poor
Townsville - South,Poor
Townsville City - North Ward,Poor
Wulguru - Roseneath,Poor
Ashfield - Kepnock,Poor
Bargara - Burnett Heads,Poor
Branyan - Kensington,Poor
Bundaberg,Poor
Bundaberg East - Kalkie,Poor
Bundaberg North - Gooburrum,Poor
Bundaberg Region - North,Poor
Bundaberg Region - South,Poor
Millbank - Avoca,Poor
Svensson Heights - Norville,Poor
Walkervale - Avenell Heights,Poor
Gayndah - Mundubbera,Good
Gin Gin,Acceptable
Kingaroy,Poor
Kingaroy Region - North,Good
Kingaroy Region - South,Poor
Monto - Eidsvold,Acceptable
Nanango,Poor
North Burnett,Poor
Cooloola,Good
Gympie - North,Poor
Gympie - South,Poor
Gympie Region,Poor
Kilkivan,Poor
Booral - River Heads,Poor
Craignish - Dundowran Beach,Poor
Pialba - Eli Waters,Poor
Point Vernon,Poor
Torquay - Scarness - Kawungan,Poor
Urangan - Wondunna,Poor
Burrum - Fraser,Poor
Granville,Poor
Maryborough (Qld),Poor
Maryborough Region - South,Poor
Tinana,Poor
Adelaide,Good
North Adelaide,Good
Adelaide Hills,Acceptable
Aldgate - Stirling,Acceptable
Hahndorf - Echunga,Poor
Lobethal - Woodside,Acceptable
Mount Barker,Good
Mount Barker Region,Poor
Nairne,Acceptable
Uraidla - Summertown,Acceptable
Burnside - Wattle Park,Poor
Glenside - Beaumont,Poor
Toorak Gardens,Poor
Athelstone,Good
Paradise - Newton,Acceptable
Rostrevor - Magill,Acceptable
Norwood (SA),Poor
Payneham - Felixstow,Poor
St Peters - Marden,Acceptable
Nailsworth - Broadview,Poor
Prospect,Good
Walkerville,Acceptable
Goodwood - Millswood,Acceptable
Unley - Parkside,Poor
Gawler - North,Poor
Gawler - South,Poor
Lewiston - Two Wells,Acceptable
Craigmore - Blakeview,Poor
Davoren Park,Poor
Elizabeth,Poor
Elizabeth East,Poor
Munno Para West - Angle Vale,Acceptable
One Tree Hill,Poor
Smithfield - Elizabeth North,Poor
Virginia - Waterloo Corner,Poor
Enfield - Blair Athol,Poor
Northgate - Oakden - Gilles Plains,Poor
Windsor Gardens,Acceptable
Dry Creek - North,Poor
Ingle Farm,Acceptable
Para Hills,Good
Parafield,Poor
Parafield Gardens,Good
Paralowie,Poor
Pooraka,Good
Salisbury,Poor
Salisbury East,Acceptable
Salisbury North,Poor
Golden Grove,Poor
Greenwith,Poor
Highbury - Dernancourt,Acceptable
Hope Valley - Modbury,Acceptable
Modbury Heights,Acceptable
Redwood Park,Poor
St Agnes - Ridgehaven,Poor
Brighton (SA),Poor
Glenelg (SA),Acceptable
Edwardstown,Poor
Hallett Cove,Poor
Marino - Seaview Downs,Poor
Mitchell Park,Poor
Morphettville,Poor
Sheidow Park - Trott Park,Poor
Warradale,Poor
Belair,Poor
Bellevue Heights,Acceptable
Blackwood,Poor
Colonel Light Gardens,Poor
Mitcham (SA),Good
Panorama,Poor
Aberfoyle Park,Poor
Aldinga,Good
Christie Downs,Acceptable
Christies Beach,Acceptable
Clarendon,Acceptable
Coromandel Valley,Poor
Flagstaff Hill,Poor
Hackham - Onkaparinga Hills,Poor
Hackham West - Huntfield Heights,Poor
Happy Valley,Poor
Happy Valley Reservoir,Poor
Lonsdale,Good
McLaren Vale,Good
Morphett Vale - East,Poor
Morphett Vale - West,Poor
Reynella,Good
Seaford (SA),Acceptable
Willunga,Poor
Woodcroft,Poor
Beverley,Poor
Flinders Park,Poor
Henley Beach,Poor
Hindmarsh - Brompton,Poor
Royal Park - Hendon - Albert Park,Poor
Seaton - Grange,Poor
West Lakes,Acceptable
Woodville - Cheltenham,Poor
Dry Creek - South,Poor
Largs Bay - Semaphore,Poor
North Haven,Acceptable
Port Adelaide,Poor
The Parks,Poor
Adelaide Airport,Good
Fulham,Poor
Lockleys,Good
Plympton,Poor
Richmond (SA),Good
West Beach,Poor
Barossa - Angaston,Poor
Light,Acceptable
Lyndoch,Good
Mallala,Poor
Nuriootpa,Acceptable
Tanunda,Acceptable
Clare,Acceptable
Gilbert Valley,Acceptable
Goyder,Good
Wakefield - Barunga West,Good
Jamestown,Good
Peterborough - Mount Remarkable,Good
Port Pirie,Good
Port Pirie Region,Poor
Kadina,Good
Moonta,Good
Wallaroo,Good
Yorke Peninsula - North,Acceptable
Yorke Peninsula - South,Acceptable
Ceduna,Poor
Eyre Peninsula,Acceptable
Kimba - Cleve - Franklin Harbour,Good
Le Hunte - Elliston,Acceptable
Port Lincoln,Good
West Coast (SA),Acceptable
Western,Poor
Whyalla,Good
Whyalla - North,Poor
APY Lands,Poor
Coober Pedy,Good
Flinders Ranges,Acceptable
Outback,Acceptable
Port Augusta,Good
Roxby Downs,Good
Goolwa - Port Elliot,Good
Kangaroo Island,Good
Strathalbyn,Poor
Strathalbyn Region,Poor
Victor Harbor,Good
Yankalilla,Acceptable
Grant,Poor
Kingston - Robe,Good
Millicent,Poor
Mount Gambier,Good
Naracoorte,Acceptable
Naracoorte Region,Poor
Penola,Acceptable
Tatiara,Good
Wattle Range,Poor
Barmera,Good
Berri,Acceptable
Karoonda - Lameroo,Good
Loxton,Good
Loxton Region,Poor
Mannum,Acceptable
Murray Bridge,Good
Murray Bridge Region,Poor
Renmark,Poor
Renmark Region,Poor
The Coorong,Good
Waikerie,Good
Augusta,Acceptable
Busselton,Good
Busselton Region,Acceptable
Margaret River,Good
Australind - Leschenault,Good
Bunbury,Poor
Capel,Acceptable
College Grove - Carey Park,Poor
Collie,Good
Dardanup,Good
Davenport,Poor
Eaton - Pelican Point,Good
Gelorup - Dalyellup - Stratham,Poor
Harvey,Acceptable
Koombana,Poor
Waroona,Good
Bridgetown - Boyup Brook,Good
Donnybrook - Balingup,Good
Manjimup,Acceptable
Pemberton,Acceptable
Dawesville - Bouvard,Good
Falcon - Wannanup,Poor
Greenfields,Poor
Halls Head - Erskine,Poor
Mandurah,Poor
Mandurah - East,Poor
Mandurah - North,Poor
Mandurah - South,Poor
Pinjarra,Poor
City Beach,Good
Claremont (WA),Poor
Cottesloe,Acceptable
Floreat,Poor
Mosman Park - Peppermint Grove,Acceptable
Nedlands - Dalkeith - Crawley,Good
Swanbourne - Mount Claremont,Poor
Kings Park (WA),Poor
Mount Hawthorn - Leederville,Poor
Mount Lawley - Inglewood,Poor
North Perth,Good
Perth City,Good
Subiaco - Shenton Park,Good
Wembley - West Leederville - Glendalough,Poor
Bassendean - Eden Hill - Ashfield,Poor
Bayswater - Embleton - Bedford,Acceptable
Maylands,Good
Morley,Poor
Noranda,Poor
Chidlow,Good
Glen Forrest - Darlington,Good
Helena Valley - Koongamia,Poor
Malmalling - Reservoir,Poor
Mundaring,Good
Swan View - Greenmount - Midvale,Poor
Avon Valley National Park,Poor
Ballajura,Good
Beechboro,Good
Bullsbrook,Poor
Ellenbrook,Poor
Gidgegannup,Acceptable
Hazelmere - South Guildford,Poor
Lockridge - Kiara,Poor
Malaga,Good
Melaleuca - Lexia,Poor
Middle Swan - Herne Hill,Poor
Midland - Guildford,Poor
Stratton - Jane Brook,Poor
The Vines,Poor
Walyunga National Park,Poor
Craigie - Beldon,Poor
Currambine - Kinross,Poor
Duncraig,Good
Greenwood - Warwick,Good
Heathridge - Connolly,Poor
Hillarys,Poor
Iluka - Burns Beach,Poor
Joondalup - Edgewater,Poor
Kingsley,Poor
Mullaloo - Kallaroo,Poor
Ocean Reef,Poor
Padbury,Poor
Sorrento - Marmion,Poor
Woodvale,Poor
Balcatta - Hamersley,Poor
Balga - Mirrabooka,Poor
Dianella,Good
Herdsman,Poor
Innaloo - Doubleview,Poor
Karrinyup - Gwelup - Carine,Poor
Nollamara - Westminster,Poor
Osborne Park Industrial,Poor
Scarborough,Poor
Stirling - Osborne Park,Poor
Trigg - North Beach - Watermans Bay,Poor
Tuart Hill - Joondanna,Poor
Wembley Downs - Churchlands - Woodlands,Poor
Yokine - Coolbinia - Menora,Poor
Alexander Heights - Koondoola,Poor
Butler - Merriwa - Ridgewood,Poor
Carramar,Good
Clarkson,Poor
Girrawheen,Poor
Madeley - Darch - Landsdale,Poor
Marangaroo,Poor
Mindarie - Quinns Rocks - Jindalee,Poor
Neerabup National Park,Poor
Tapping - Ashby - Sinagra,Poor
Wanneroo,Poor
Yanchep,Good
Armadale - Wungong - Brookdale,Poor
Ashendon - Lesley,Poor
Camillo - Champion Lakes,Poor
Forrestdale - Harrisdale - Piara Waters,Poor
Kelmscott,Poor
Mount Nasura - Mount Richon - Bedfordale,Poor
Roleystone,Poor
Seville Grove,Poor
Belmont - Ascot - Redcliffe,Good
East Victoria Park - Carlisle,Good
Kewdale Commercial,Poor
Perth Airport,Poor
Rivervale - Kewdale - Cloverdale,Good
Victoria Park - Lathlain - Burswood,Good
Bentley - Wilson - St James,Acceptable
Canning Vale - West,Poor
Canning Vale Commercial,Poor
Cannington - Queens Park,Poor
Parkwood - Ferndale - Lynwood,Poor
Riverton - Shelley - Rossmoyne,Acceptable
Welshpool,Good
Willetton,Poor
Beckenham - Kenwick - Langford,Poor
Canning Vale - East,Poor
Gosnells,Poor
Huntingdale - Southern River,Poor
Maddington - Orange Grove - Martin,Good
Thornlie,Good
Forrestfield - Wattle Grove,Acceptable
High Wycombe,Poor
Kalamunda - Maida Vale - Gooseberry Hill,Poor
Lesmurdie - Bickley - Carmel,Poor
Byford,Acceptable
Mundijong,Poor
Serpentine - Jarrahdale,Acceptable
Como,Poor
Manning - Waterford,Poor
South Perth - Kensington,Good
Banjup,Poor
Beeliar,Poor
Bibra Industrial,Poor
Bibra Lake,Poor
Coogee,Good
Coolbellup,Poor
Hamilton Hill,Poor
Henderson,Poor
Jandakot,Poor
Jandakot Airport,Poor
North Coogee,Poor
South Lake - Cockburn Central,Poor
Spearwood,Poor
Success - Hammond Park,Poor
Wattleup,Poor
Yangebup,Poor
East Fremantle,Good
Fremantle,Acceptable
Fremantle - South,Poor
O'Connor (WA),Poor
Anketell - Wandi,Poor
Bertram - Wellard (West),Poor
Calista,Poor
Casuarina - Wellard (East),Poor
Hope Valley - Postans,Acceptable
Kwinana Industrial,Poor
Parmelia - Orelia,Poor
Applecross - Ardross,Poor
Bateman,Poor
Bicton - Palmyra,Good
Booragoon,Poor
Bull Creek,Poor
Leeming,Poor
Melville,Poor
Murdoch - Kardinya,Poor
Willagee,Poor
Winthrop,Poor
Baldivis,Good
Cooloongup,Poor
Port Kennedy,Good
Rockingham,Poor
Rockingham Lakes,Poor
Safety Bay - Shoalwater,Poor
Singleton - Golden Bay - Secret Harbour,Good
Waikiki,Poor
Warnbro,Poor
Esperance,Good
Esperance Region,Poor
Carnarvon,Good
Exmouth,Acceptable
Boulder,Good
Kalgoorlie,Poor
Kalgoorlie - North,Poor
Kalgoorlie Airport,Poor
Kambalda - Coolgardie - Norseman,Good
Leinster - Leonora,Acceptable
Trafalgar (WA),Poor
Broome,Acceptable
Derby - West Kimberley,Good
Halls Creek,Good
Kununurra,Good
Roebuck,Poor
Geraldton,Poor
Geraldton - East,Poor
Geraldton - North,Poor
Geraldton - South,Poor
Irwin,Good
Meekatharra,Good
Morawa,Good
Northampton - Mullewa - Greenough,Acceptable
Ashburton (WA),Good
East Pilbara,Poor
Karratha,Good
Newman,Poor
Port Hedland,Good
Roebourne,Acceptable
South Hedland,Good
Albany,Poor
Albany Region,Poor
Bayonet Head - Lower King,Poor
Denmark,Good
Gnowangerup,Good
Katanning,Good
Kojonup,Good
Little Grove - Elleker,Poor
McKail - Willyung,Poor
Plantagenet,Good
Stirling Range National Park,Poor
Chittering,Poor
Cunderdin,Good
Dowerin,Good
Gingin - Dandaragan,Good
Merredin,Good
Moora,Good
Mukinbudin,Good
Northam,Good
Toodyay,Acceptable
York - Beverley,Good
Brookton,Good
Kulin,Good
Murray,Good
Narrogin,Good
Wagin,Good
Bridgewater - Gagebrook,Poor
Brighton - Pontville,Poor
Old Beach - Otago,Acceptable
Bellerive - Rosny,Poor
Cambridge,Good
Geilston Bay - Risdon,Poor
Howrah - Tranmere,Poor
Lindisfarne - Rose Bay,Poor
Mornington - Warrane,Poor
Risdon Vale,Good
Rokeby,Good
South Arm,Good
Austins Ferry - Granton,Poor
Berriedale - Chigwell,Poor
Claremont (Tas.),Poor
Derwent Park - Lutana,Poor
Glenorchy,Poor
Montrose - Rosetta,Poor
Moonah,Poor
New Norfolk,Poor
West Moonah,Poor
Kingston - Huntingfield,Acceptable
Kingston Beach - Blackmans Bay,Poor
Margate - Snug,Poor
Mount Wellington,Poor
Taroona - Bonnet Hill,Good
Hobart,Poor
Lenah Valley - Mount Stuart,Poor
Mount Nelson - Dynnyrne,Poor
New Town,Poor
Sandy Bay,Acceptable
South Hobart - Fern Tree,Poor
West Hobart,Poor
Dodges Ferry - Lewisham,Good
Sorell - Richmond,Good
Invermay,Poor
Kings Meadows - Punchbowl,Poor
Launceston,Poor
Legana,Poor
Mowbray,Poor
Newnham - Mayfield,Poor
Newstead,Poor
Norwood (Tas.),Poor
Prospect Vale - Blackstone,Poor
Ravenswood,Poor
Riverside,Poor
South Launceston,Poor
Summerhill - Prospect,Poor
Trevallyn,Poor
Waverley - St Leonards,Poor
West Launceston,Poor
Youngtown - Relbia,Poor
Beauty Point - Beaconsfield,Acceptable
Deloraine,Good
Grindelwald - Lanena,Poor
Hadspen - Carrick,Acceptable
Westbury,Poor
Dilston - Lilydale,Poor
George Town,Acceptable
Longford,Good
Northern Midlands,Acceptable
Perth - Evandale,Acceptable
Scottsdale - Bridport,Good
St Helens - Scamander,Acceptable
Central Highlands,Poor
Derwent Valley,Poor
Southern Midlands,Poor
Wilderness - East,Poor
Bruny Island - Kettering,Acceptable
Cygnet,Acceptable
Geeveston - Dover,Acceptable
Huonville - Franklin,Acceptable
Forestier - Tasman,Good
Triabunna - Bicheno,Acceptable
Acton - Upper Burnie,Poor
Burnie - Ulverstone Region,Poor
Burnie - Wivenhoe,Poor
Parklands - Camdale,Poor
Penguin - Sulphur Creek,Acceptable
Romaine - Havenview,Poor
Somerset,Good
Ulverstone,Poor
West Ulverstone,Poor
Wynyard,Poor
Devonport,Poor
East Devonport,Poor
Latrobe,Poor
Miandetta - Don,Poor
Port Sorell,Poor
Quoiba - Spreyton,Poor
Sheffield - Railton,Acceptable
Turners Beach - Forth,Poor
King Island,Good
North West,Poor
Smithton,Poor
Waratah,Poor
West Coast (Tas.),Good
Wilderness - West,Poor
Darwin Airport,Poor
Darwin City,Good
East Point,Poor
Fannie Bay - The Gardens,Poor
Larrakeyah,Poor
Ludmilla - The Narrows,Poor
Parap,Poor
Stuart Park,Poor
Woolner - Bayview - Winnellie,Poor
Alawa,Poor
Anula,Poor
Berrimah,Poor
Brinkin - Nakara,Poor
Buffalo Creek,Poor
Charles Darwin,Poor
Coconut Grove,Poor
East Arm,Poor
Jingili,Poor
Karama,Poor
Leanyer,Poor
Lyons (NT),Poor
Malak - Marrara,Poor
Millner,Poor
Moil,Poor
Nightcliff,Poor
Rapid Creek,Poor
Tiwi,Poor
Wagaman,Poor
Wanguri,Poor
Wulagi,Poor
Howard Springs,Poor
Humpty Doo,Acceptable
Koolpinyah,Poor
Virginia,Poor
Weddell,Poor
Bakewell,Poor
Driver,Poor
Durack - Marlow Lagoon,Poor
Gray,Poor
Moulden,Poor
Palmerston - North,Poor
Palmerston - South,Poor
Rosebery - Bellamack,Poor
Woodroffe,Poor
Charles,Poor
East Side,Poor
Flynn (NT),Poor
Larapinta,Poor
Mount Johns,Poor
Petermann - Simpson,Poor
Ross,Poor
Sandover - Plenty,Poor
Tanami,Poor
Yuendumu - Anmatjere,Poor
Barkly,Poor
Tennant Creek,Good
Alligator,Poor
Daly,Poor
Thamarrurr,Poor
Tiwi Islands,Poor
West Arnhem,Poor
Anindilyakwa,Poor
East Arnhem,Poor
Nhulunbuy,Poor
Elsey,Poor
Gulf,Poor
Katherine,Good
Victoria River,Poor
Aranda,Poor
Belconnen,Poor
Bruce,Poor
Charnwood,Poor
Cook,Poor
Dunlop,Poor
Evatt,Poor
Florey,Poor
Flynn (ACT),Poor
Fraser,Poor
Giralang,Poor
Gooromon,Poor
Hawker,Poor
Higgins,Poor
Holt,Poor
Kaleen,Poor
Latham,Poor
Lawson,Poor
Macgregor (ACT),Poor
Macquarie,Poor
McKellar,Poor
Melba,Poor
Page,Poor
Scullin,Poor
Spence,Poor
Weetangera,Poor
ACT - South West,Poor
Molonglo,Poor
Namadgi,Poor
ACT - East,Poor
Hume,Poor
Kowen,Poor
Majura,Poor
Amaroo,Poor
Bonner,Poor
Casey,Poor
Crace,Good
Forde,Poor
Franklin,Poor
Gungahlin,Acceptable
Gungahlin - East,Poor
Gungahlin - West,Poor
Hall,Poor
Harrison,Poor
Mitchell,Poor
Ngunnawal,Poor
Nicholls,Poor
Palmerston,Poor
Acton,Poor
Ainslie,Poor
Braddon,Poor
Campbell,Poor
Civic,Poor
Dickson,Poor
Downer,Poor
Hackett,Poor
Lyneham,Poor
O'Connor (ACT),Poor
Reid,Poor
Turner,Poor
Watson,Poor
Deakin,Poor
Forrest,Poor
Griffith (ACT),Poor
Kingston - Barton,Poor
Lake Burley Griffin,Poor
Narrabundah,Poor
Parkes (ACT),Poor
Red Hill (ACT),Poor
